"","Estimate","Lower","Upper","analysis","classLandscape","area","contour","availPointsPer","samplingPattern","weighting","branches","species","indi","tf","td","sigColour"
"wrsfMethodsOUT_240_48_1_KINGCOBRA.est",-1.29835993253843,-2.62266003287166,0.0259401677948086,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_KINGCOBRA.est","KINGCOBRA",1,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_1_KINGCOBRA.est1",0.974024374491381,-0.69974167913516,2.64779042811792,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_1_KINGCOBRA.est1","KINGCOBRA",1,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_BADGER.est",-0.455806651067115,-1.48468074700689,0.573067444872659,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_BADGER.est","BADGER",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_BADGER.est1",-0.43358786401231,-1.69302618718936,0.825850459164738,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_BADGER.est1","BADGER",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_VULTURE.est",-0.288282326503581,-1.61296858324717,1.03640393024001,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_VULTURE.est","VULTURE",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_VULTURE.est1",-0.256400328021057,-1.64001375937706,1.12721310333495,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_VULTURE.est1","VULTURE",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_KINGCOBRA.est",-0.000239870680717537,-1.62106223299313,1.6205824916317,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_KINGCOBRA.est","KINGCOBRA",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_2_KINGCOBRA.est1",-0.710498785762949,-1.85430980234434,0.433312230818441,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_2_KINGCOBRA.est1","KINGCOBRA",2,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_BADGER.est",-0.65951760035702,-1.66773214411488,0.348696943400838,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_BADGER.est","BADGER",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_BADGER.est1",-0.0966767384784803,-1.49266575840699,1.29931228145003,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_BADGER.est1","BADGER",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_VULTURE.est",-0.0093988189993504,-1.378688944266,1.3598913062673,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_VULTURE.est","VULTURE",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_VULTURE.est1",-0.358132534706485,-1.66956898752887,0.953303918115903,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_VULTURE.est1","VULTURE",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_KINGCOBRA.est",-1.84082108212014,-4.34991773518123,0.668275570940949,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_KINGCOBRA.est","KINGCOBRA",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_3_KINGCOBRA.est1",0.779541090086124,-0.895497092391524,2.45457927256377,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_3_KINGCOBRA.est1","KINGCOBRA",3,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_BADGER.est",-0.783828953144874,-1.74341244464587,0.175754538356118,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_BADGER.est","BADGER",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_BADGER.est1",-0.00298104118852023,-1.42130393002676,1.41534184764972,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_BADGER.est1","BADGER",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_VULTURE.est",-0.298059616123473,-1.35232120492295,0.756201972676007,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_VULTURE.est","VULTURE",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_VULTURE.est1",0.01096871361942,-1.35154169402838,1.37347912126722,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_VULTURE.est1","VULTURE",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_KINGCOBRA.est",2.69734040126451,-2.70428424033723,8.09896504286626,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_KINGCOBRA.est","KINGCOBRA",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_48_4_KINGCOBRA.est1",0.0483211769164247,-1.46197481599142,1.55861716982427,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_48_4_KINGCOBRA.est1","KINGCOBRA",4,0.0208333333333333,240,"no effect"
"wrsfMethodsOUT_240_168_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_1_BADGER","BADGER",1,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_1_VULTURE","VULTURE",1,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_1_KINGCOBRA","KINGCOBRA",1,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_2_BADGER","BADGER",2,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_2_VULTURE","VULTURE",2,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_2_KINGCOBRA","KINGCOBRA",2,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_3_BADGER","BADGER",3,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_3_VULTURE","VULTURE",3,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_3_KINGCOBRA","KINGCOBRA",3,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_4_BADGER","BADGER",4,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_4_VULTURE","VULTURE",4,0.00595238095238095,240,NA
"wrsfMethodsOUT_240_168_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_240_168_4_KINGCOBRA","KINGCOBRA",4,0.00595238095238095,240,NA
