"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_BADGER.39",-0.0478603757699368,-0.65074320227478,0.555022450734906,"ssf","mf.ss","exp","unif",158,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_BADGER.40",-0.0955506435127871,-0.696768627669885,0.505667340644311,"ssf","mf.ss","exp","unif",500,"ssfOUT_7_0.5_1_BADGER","BADGER",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.1",0.471445479271407,-0.326944846863503,1.26983580540632,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.2",0.760704889005581,-0.00265895289744633,1.52406873090861,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.3",0.870159164295954,0.11264109275361,1.6276772358383,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.4",1.04437121694108,0.281525493668606,1.80721694021355,"ssf","mf.is","gamma","vonmises",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.5",0.970637781075314,0.207767789510119,1.73350777264051,"ssf","mf.is","gamma","vonmises",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.6",1.11482712994785,0.30361651783413,1.92603774206156,"ssf","mf.is","gamma","unif",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.7",0.820439430541664,0.0513145632679644,1.58956429781536,"ssf","mf.is","gamma","unif",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.8",0.964893057639641,0.19729995798422,1.73248615729506,"ssf","mf.is","gamma","unif",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.9",0.977390345685053,0.214321838952153,1.74045885241795,"ssf","mf.is","gamma","unif",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
